movie,character1,character2,location,interactionType,result,timestamp,,"methodology: This dataset contains interaction data between characters in the  Star Wars prequal movies created by George Lucas. The links between characters are defined from when they are shown on screen. Multiple interaction types can happen between characters within a scene, signalling a new interaction for interaction types in the same scene. character1 and character2 are characters who are directly interacting with each other. These timestamps were derived from the DisneyPlus streaming service. ",
1,darth sidious,nute gunray,naboo,dialogue,null,01:36:55,,,
1,ric olie,anakin skywalker,naboo starship,dialogue,null,01:37:28,,,
1,gregar typho,queen amidala,naboo starship,dialogue,null,01:37:35,,,
1,qui-gon jinn,queen amidala,naboo starship,dialogue,null,01:37:40,,,
1,queen amidala,jar jar binks,naboo starship,dialogue,null,01:37:56,,,
1,obi-wan kenobi,ric olie,naboo starship,dialogue,null,01:38:08,,,
1,obi-wan kenobi,qui-gon jinn,naboo,dialogue,null,01:38:29,,,
1,qui-gon jinn,jar jar binks,naboo,dialogue,null,01:39:19,,,
1,captain tarpals,boss nass,naboo,dialogue,null,01:40:00,,,
1,jar jar binks,boss nass,naboo,dialogue,null,01:40:10,,,
1,queen amidala decoy,boss nass,naboo,dialogue,null,01:40:20,,,
1,boss nass,queen amidala,naboo,dialogue,gungan army joins battle,01:40:41,,,
1,darth sidious,nute gunray,naboo,dialogue,null,01:42:10,,,
1,darth maul,darth sidious,naboo,dialogue,null,01:42:24,,,
1,jar jar binks,boss nass,naboo,dialogue,null,01:42:50,,,
1,gregar typho,queen amidala,naboo,dialogue,null,01:43:10,,,
1,qui-gon jinn,queen amidala,naboo,dialogue,null,01:43:54,,,
1,gregar typho,qui-gon jinn,naboo,dialogue,null,01:43:58,,,
1,obi-wan kenobi,queen amidala,naboo,dialogue,null,01:44:24,,,
1,darth sidious,nute gunray,naboo,dialogue,null,01:44:40,,,
1,qui-gon jinn,anakin skywalker,naboo,dialogue,null,01:46:28,,,
1,nute gunray,gilramos libkath,naboo,dialogue,null,01:47:00,,,
1,qui-gon jinn,battle droid,naboo,fighting,destroyed battle droids,01:47:10,,,
1,qui-gon jinn,anakin skywalker,naboo,dialogue,null,01:50:16,,,
1,qui-gon jinn,darth maul,naboo,fighting,qui gon killed by darth maul,01:50:30,,,
1,obi-wan kenobi,darth maul,naboo,fighting,obi wan defeats darth maul,01:50:30,,,
1,anakin skywalker,r2-d2,naboo starfighter,fighting,trade federation ship destroyed,01:50:46,,,
1,nute gunray,queen amidala,naboo,fighting,nute gunray caught,02:00:38,,,
1,captain tarpals,jar jar binks,naboo,fighting,gungans beat battle droid army,02:03:39,,,
1,queen amidala,nute gunray,naboo,dialogue,null,02:05:33,,,
1,obi-wan kenobi,chancellor palpatine,naboo,dialogue,null,02:05:53,,,
1,chancellor palpatine,anakin skywalker,naboo,dialogue,null,02:05:58,,,
1,queen amidala,chancellor palpatine,naboo,dialogue,null,02:06:10,,,
1,yoda,obi-wan kenobi,coruscant,dialogue,obi wan becomes jedi knight,02:06:28,,,
1,anakin skywalker,obi-wan kenobi,naboo,dialogue,obi wan takes anakin as a padawan,02:07:43,,,
1,mace windu,yoda,naboo,dialogue,null,02:08:22,,,
2,queen amidala decoy,queen amidala bodyguard,naboo starfighter,dialogue,null,00:02:17,,,
2,padme amidala,gregar typho,coruscant,dialogue,null,00:03:17,,,
2,padme amidala,queen amidala decoy,coruscant,dialogue,queen amidala decoy assasinated,00:03:40,,,
2,gregar typho,padme amidala,coruscant,dialogue,null,00:04:00,,,
2,chancellor palpatine,mace windu,coruscant,dialogue,null,00:04:25,,,
2,yoda,chancellor palpatine,coruscant,dialogue,null,00:04:53,,,
2,padme amidala,yoda,coruscant,dialogue,null,00:05:27,,,
2,mace windu,padme amidala,coruscant,dialogue,null,00:05:40,,,
2,ki-adi-mundi,padme amidala,coruscant,dialogue,null,00:05:48,,,
2,chancellor palpatine,mace windu,coruscant,dialogue,null,00:06:06,,,
2,chancellor palpatine,padme amidala,coruscant,dialogue,null,00:06:25,,,
2,anakin skywalker,obi-wan kenobi,coruscant,dialogue,null,00:07:07,,,
2,jar jar binks,obi-wan kenobi,coruscant,dialogue,null,00:07:50,,,
2,jar jar binks,padme amidala,coruscant,dialogue,null,00:07:58,,,
2,padme amidala,obi-wan kenobi,coruscant,dialogue,null,00:08:10,,,
2,padme amidala,anakin skywalker,coruscant,dialogue,null,00:08:17,,,
2,obi-wan kenobi,anakin skywalker,coruscant,dialogue,null,00:08:58,,,
2,obi-wan kenobi,gregar typho,coruscant,dialogue,null,00:09:46,,,
2,jar jar binks,anakin skywalker,coruscant,dialogue,null,00:09:58,,,
2,jango fett,zam wesell,coruscant,dialogue,plot to assasinate padme,00:10:32,,,
2,obi-wan kenobi,anakin skywalker,coruscant,dialogue,null,00:10:48,,,
2,anakin skywalker,obi-wan kenobi,coruscant,dialogue,stopped assasination attempt on padme,00:13:54,,,
2,padme amidala,anakin skywalker,coruscant,dialogue,null,00:14:26,,,
2,zam wesell,obi-wan kenobi,coruscant,fighting,null,00:15:39,,,
2,obi-wan kenobi,anakin skywalker,coruscant,dialogue,saved from fall,00:16:20,,,
2,anakin skywalker,zam wesell,coruscant,fighting,null,00:19:28,,,
2,anakin skywalker,obi-wan kenobi,coruscant,dialogue,null,00:21:48,,,
2,obi-wan kenobi,zam wesell,coruscant,fighting,assasin caught,00:23:44,,,
2,anakin skywalker,zam wesell,coruscant,dialogue,null,00:24:13,,,
2,jango fett,zam wesell,coruscant,fighting,zam killed by jango,00:24:21,,,
2,yoda,obi-wan kenobi,coruscant,dialogue,null,00:24:54,,,
2,mace windu,obi-wan kenobi,coruscant,dialogue,null,00:24:58,,,
2,anakin skywalker,mace windu,coruscant,dialogue,null,00:25:12,,,
2,chancellor palpatine,anakin skywalker,coruscant,dialogue,null,00:25:46,,,
2,obi-wan kenobi,mace windu,coruscant,dialogue,null,00:26:38,,,
2,yoda,obi-wan kenobi,coruscant,dialogue,null,00:26:45,,,
2,jar jar binks,padme amidala,coruscant,dialogue,null,00:27:20,,,
2,padme amidala,anakin skywalker,coruscant,dialogue,null,00:27:51,,,
2,anakin skywalker,obi-wan kenobi,coruscant,dialogue,null,00:30:22,,,
2,obi-wan kenobi,padme amidala,coruscant,dialogue,null,00:30:31,,,
2,padme amidala,anakin skywalker,coruscant,dialogue,null,00:30:57,,,
2,gregar typho,obi-wan kenobi,coruscant,dialogue,null,00:31:13,,,
2,dex,obi-wan kenobi,coruscant,dialogue,null,00:31:46,,,
2,jocasta nu,obi-wan kenobi,coruscant,dialogue,null,00:33:52,,,
2,r2-d2,padme amidala,refugee ship,dialogue,null,00:35:08,,,
2,anakin skywalker,padme amidala,refugee ship,dialogue,null,00:35:11,,,
2,younglings,yoda,coruscant,dialogue,null,00:36:18,,,
2,yoda,obi-wan kenobi,coruscant,dialogue,null,00:36:30,,,
2,padme amidala,anakin skywalker,naboo,dialogue,null,00:38:46,,,
2,padme amidala,sio bibble,naboo,dialogue,null,00:39:25,,,
2,queen jamillia,padme amidala,naboo,dialogue,null,00:39:35,,,
2,anakin skywalker,padme amidala,naboo,dialogue,null,00:40:33,,,
2,r4-p17,obi-wan kenobi,jedi starfighter,dialogue,null,00:41:08,,,
2,taun we,obi-wan kenobi,kamino,dialogue,null,00:41:50,,,
2,lama su,obi-wan kenobi,kamino,dialogue,null,00:42:25,,,
2,padme amidala,anakin skywalker,naboo,dialogue,null,00:44:15,,,
2,obi-wan kenobi,lama su,kamino,dialogue,null,00:45:52,,,
2,obi-wan kenobi,taun we,kamino,dialogue,null,00:47:21,,,
2,anakin skywalker,padme amidala,naboo,dialogue,null,0047:53,,,
2,taun we,boba fett,kamino,dialogue,null,00:50:42,,,
2,taun we,jango fett,kamino,dialogue,null,00:51:09,,,
2,obi-wan kenobi,jango fett,kamino,dialogue,null,00:51:33,,,
2,boba fett,jango fett,kamino,dialogue,null,00:51:47,,,
2,anakin skywalker,padme amidala,kamino,dialogue,null,00:53:02,,,
2,taun we,obi-wan kenobi,kamino,dialogue,null,00:56:47,,,
2,r4-p17,obi-wan kenobi,kamino,dialogue,null,00:57:19,,,
2,mace windu,obi-wan kenobi,coruscant,dialogue,null,00:57:40,,,
2,yoda,obi-wan kenobi,coruscant,dialogue,null,00:57:49,,,
2,mace windu,yoda,coruscant,dialogue,null,00:58:35,,,
2,padme amidala,anakin skywalker,naboo,dialogue,null,00:59:33,,,
2,jango fett,obi-wan kenobi,kamino,fighting,jango and boba escape kamino,01:00:54,,,
2,anakin skywalker,padme amidala,tatooine,dialogue,null,01:04:20,,,
2,anakin skywalker,watto,tatooine,dialogue,null,01:04:30,,,
2,obi-wan kenobi,jango fett,geonosis,fighting,jango and boba escape to geonosis,01:06:38,,,
2,jango fett,boba fett,geonosis,dialogue,null,01:06:50,,,
2,obi-wan kenobi,r4-p17,geonosis,dialogue,null,01:10:17,,,
2,padme amidala,r2-d2,tatooine,dialogue,null,01:11:18,,,
2,anakin skywalker,c-3po,tatooine,dialogue,null,01:11:35,,,
2,c-3po,padme amidala,tatooine,dialogue,null,01:11:50,,,
2,owen lars,c-3po,tatooine,dialogue,null,01:12:08,,,
2,owen lars,anakin skywalker,tatooine,dialogue,null,01:12:10,,,
2,anakin skywalker,cliegg lars,tatooine,dialogue,null,01:12:30,,,
2,padme amidala,anakin skywalker,tatooine,dialogue,null,01:14:16,,,
2,count dooku,nute gunray,geonosis,dialogue,null,01:16:26,,,
2,wat tambor,count dooku,geonosis,dialogue,null,01:16:44,,,
2,anakin skywalker,shmi skywalker,tatooine,dialogue,shmi skywalker dies,01:18:34,,,
2,anakin skywalker,tusken raiders,tatooine,fighting,anakin kills every tusken raider in village,01:20:38,,,
2,mace windu,yoda,coruscant,dialogue,null,01:21:00,,,
2,r4-p17,obi-wan kenobi,geonosis,dialogue,null,01:21:41,,,
2,padme amidala,anakin skywalker,tatooine,dialogue,anakin tells padme of tusken genocide,01:23:48,,,
2,r2-d2,padme amidala,tatooine,dialogue,null,01:27:50,,,
2,c-3po,padme amidala,tatooine,dialogue,null,01:27:55,,,
2,anakin skywalker,c-3po,tatooine,dialogue,null,01:28:03,,,
2,anakin skywalker,obi-wan kenobi,tatooine,dialogue,null,01:28:10,,,
2,yoda,mace windu,coruscant,dialogue,null,01:28:52,,,
2,mace windu,anakin skywalker,tatooine,dialogue,null,01:29:00,,,
2,padme amidala,anakin skywalker,tatooine,dialogue,null,01:29:18,,,
2,bail organa,chancellor palpatine,coruscant,dialogue,null,01:30:06,,,
2,obi-wan kenobi,count dooku,geonosis,dialogue,dooku reveals a sith lord behind republic government,01:31:04,,,
2,jar jar binks,republic senate,coruscant,dialogue,jar jar introduces motion to give chancellor emergency powers,01:33:45,,,
2,republic senate,chancellor palpatine,coruscant,dialogue,null,01:34:20,,,
2,mace windu,yoda,coruscant,dialogue,null,01:35:00,,,
2,anakin skywalker,padme amidala,geonosis,dialogue,null,01:35:43,,,
2,r2-d2,c-3po,geonosis,dialogue,null,01:36:12,,,
2,anakin skywalker,geonocian drones,geonosis,fighting,killed drones,01:37:40,,,
2,jango fett,anakin skywalker,geonosis,fighting,anakin and padme captured,01:42:35,,,
2,padme amidala,anakin skywalker,geonosis,dialogue,null,01:42:55,,,
2,obi-wan kenobi,anakin skywalker,geonosis,dialogue,null,01:44:54,,,
2,count dooku,nute gunray,geonosis,dialogue,null,01:47:38,,,
2,mace windu,count dooku,geonosis,fighting,null,01:50:04,,,
2,jedi order,separatist army,geonosis,fighting,first battle in clone wars,01:50:15,,,
2,mace windu,jango fett,geonosis,fighting,jango killed by mace windu,01:52:47,,,
2,c-3po,r2-d2,geonosis,dialogue,null,01:54:40,,,
2,mace windu,count dooku,geonosis,dialogue,null,01:55:43,,,
2,separatist army,clone army,geonosis,fighting,yoda appears with clone army,01:56:27,,,
2,yoda,clone army,geonosis,fighting,null,01:56:38,,,
2,r2-d2,c-3po,geonosis,dialogue,null,01:57:34,,,
2,mace windu,yoda,geonosis,dialogue,null,01:57:52,,,
2,clone trooper pilot,anakin skywalker,geonosis,dialogue,null,01:58:10,,,
2,anakin skywalker,obi-wan kenobi,geonosis,dialogue,null,01:58:16,,,
2,nute gunray,count dooku,geonosis,dialogue,null,01:58:32,,,
2,poggle the lesser,count dooku,geonosis,dialogue,null,01:58:46,,,
2,mace windu,clone pilot,geonosis,dialogue,null,01:58:55,,,
2,clone trooper pilot,yoda,geonosis,dialogue,null,01:59:15,,,
2,clone captain,yoda,geonosis,dialogue,null,01:59:56,,,
2,count dooku,nute gunray,geonosis,dialogue,null,02:00:32,,,
2,count dooku,poggle the lesser,geonosis,dialogue,null,02:00:41,,,
2,anakin skywalker,obi-wan kenobi,geonosis,dialogue,null,02:03:00,,,
2,clone captain,yoda,geonosis,dialogue,null,02:04:25,,,
2,anakin skywalker,count dooku,geonosis,fighting,dooku cuts off arm of anakin,02:04:54,,,
2,obi-wan kenobi,count dooku,geonosis,fighting,null,02:04:54,,,
2,clone toroper,padme amidala,geonosis,dialogue,null,02:06:01,,,
2,yoda,count dooku,geonosis,fighting,dooku flees,02:07:46,,,
2,darth sidious,count dooku,coruscant,dialogue,dooku meets with palpatine,02:12:30,,,
2,obi-wan kenobi,mace windu,coruscant,dialogue,null,02:13:01,,,
2,yoda,obi-wan kenobi,coruscant,dialogue,null,02:13:12,,,
2,anakin skywalker,padme amidala,naboo,dialogue,padme and anakin secretly marry,02:14:50,,,
3,anakin skywalker,r2-d2,naboo,dialogue,null,00:03:03,,,
3,obi-wan kenobi,anakin skywalker,coruscant,dialogue,null,00:03:09,,,
3,clone trooper pilot,obi-wan kenobi,coruscant,dialogue,null,00:03:26,,,
3,anakin skywalker,obi-wan kenobi,coruscant,dialogue,null,00:03:48,,,
3,obi-wan kenobi,r4-p17,coruscant,dialogue,null,00:04:45,,,
3,r2-d2,anakin skywalker,coruscant,dialogue,null,00:04:50,,,
3,r4-p17,obi-wan kenobi,coruscant,dialogue,r4 destroyed,00:05:32,,,
3,obi-wan kenobi,battle droid,separatist cruiser,fighting,destroyed battle droids,00:07:33,,,
3,anakin skywalker,battle droid,separatist cruiser,fighting,destroyed battle droids,00:07:33,,,
3,r2-d2,obi-wan kenobi,separatist cruiser,dialogue,null,00:07:54,,,
3,r2-d2,obi-wan kenobi,separatist cruiser,dialogue,null,00:08:06,,,
3,general grievous,separatist captain,separatist cruiser,dialogue,null,00:08:30,,,
3,obi-wan kenobi,anakin skywalker,separatist cruiser,dialogue,null,00:08:54,,,
3,droidekas,anakin skywalker,separatist cruiser,fighting,destroyed battle droids,00:08:58,,,
3,droidekas,obi-wan kenobi,separatist cruiser,fighting,destroyed battle droids,00:08:58,,,
3,obi-wan kenobi,r2-d2,separatist cruiser,dialogue,null,00:09:30,,,
3,anakin skywalker,obi-wan kenobi,separatist cruiser,dialogue,null,00:09:55,,,
3,r2-d2,battle droid,separatist cruiser,fighting,r2 destroys battle droids,00:10:36,,,
